scoreNullable,teamId,hasTeamName,submissionDate,score,hasScore
0.51,6390328,True,2021-06-03 22:32:05,0.51,True
0.53,6782871,True,2021-06-03 23:40:19,0.53,True
0.53,6382967,True,2021-06-03 16:04:26,0.53,True
0.54,6700192,True,2021-06-03 21:44:49,0.54,True
0.57,6384998,True,2021-06-03 23:18:50,0.57,True
0.57,6381422,True,2021-06-03 23:54:25,0.57,True
0.60,6506393,True,2021-06-03 23:39:11,0.60,True
0.60,6603155,True,2021-06-03 23:03:43,0.60,True
0.61,6381560,True,2021-06-03 23:19:37,0.61,True
0.61,6468595,True,2021-06-03 23:54:15,0.61,True
0.62,6382630,True,2021-06-03 15:51:45,0.62,True
0.62,6394575,True,2021-06-03 22:40:24,0.62,True
0.62,6382331,True,2021-06-03 23:12:01,0.62,True
0.63,6806378,True,2021-06-03 21:10:38,0.63,True
0.65,6384991,True,2021-06-03 23:14:05,0.65,True
0.69,6493527,True,2021-06-03 16:19:47,0.69,True
0.69,6389000,True,2021-06-03 22:15:36,0.69,True
0.70,6393914,True,2021-06-03 21:32:10,0.70,True
0.70,6517899,True,2021-06-03 19:13:35,0.70,True
0.70,6481012,True,2021-06-03 23:58:59,0.70,True
0.79,6397493,True,2021-05-30 06:21:20,0.79,True
0.81,6382162,True,2021-06-03 08:19:55,0.81,True
0.84,6382440,True,2021-06-03 01:12:17,0.84,True
0.88,6400746,True,2021-06-02 22:46:02,0.88,True
0.89,6494818,True,2021-06-03 23:57:56,0.89,True
0.89,6382608,True,2021-06-02 17:04:12,0.89,True
0.90,6608896,True,2021-06-03 23:11:43,0.90,True
0.91,6578073,True,2021-05-30 07:31:16,0.91,True
0.97,6383838,True,2021-06-02 12:20:54,0.97,True
0.97,6383418,True,2021-06-03 05:56:30,0.97,True
1.00,6394802,True,2021-06-03 14:27:59,1.00,True
1.02,6607762,True,2021-06-03 23:05:00,1.02,True
1.05,6653613,True,2021-06-03 16:34:38,1.05,True
1.06,6389948,True,2021-06-03 18:46:18,1.06,True
1.08,6462526,True,2021-06-03 06:43:24,1.08,True
1.08,6431381,True,2021-06-03 21:46:34,1.08,True
1.12,6385554,True,2021-06-03 13:18:00,1.12,True
1.14,6383286,True,2021-05-30 09:47:01,1.14,True
1.15,6412593,True,2021-06-03 05:31:35,1.15,True
1.20,6382271,True,2021-06-01 14:33:04,1.20,True
1.22,6389444,True,2021-06-03 15:00:18,1.22,True
1.22,6658385,True,2021-05-30 08:04:14,1.22,True
1.22,6595236,True,2021-06-03 15:41:06,1.22,True
1.29,6775677,True,2021-06-03 17:07:26,1.29,True
1.29,6821157,True,2021-06-01 03:25:25,1.29,True
1.30,6613795,True,2021-05-29 05:48:08,1.30,True
1.31,6479908,True,2021-06-03 23:39:53,1.31,True
1.34,6617556,True,2021-06-02 09:16:27,1.34,True
1.36,6497421,True,2021-06-03 22:28:02,1.36,True
1.37,6383033,True,2021-05-31 04:29:07,1.37,True
1.37,6489872,True,2021-06-03 14:51:26,1.37,True
1.38,6384210,True,2021-06-03 17:49:59,1.38,True
1.38,6585512,True,2021-06-02 01:21:52,1.38,True
1.41,6412688,True,2021-05-26 11:57:33,1.41,True
1.42,6791875,True,2021-06-03 21:35:24,1.42,True
1.43,6385808,True,2021-06-03 18:31:03,1.43,True
1.44,6412935,True,2021-06-03 17:51:34,1.44,True
1.48,6383267,True,2021-06-03 23:41:07,1.48,True
1.48,6480609,True,2021-06-01 16:57:32,1.48,True
1.52,6799750,True,2021-06-03 12:34:20,1.52,True
1.52,6717743,True,2021-06-03 13:08:12,1.52,True
1.53,6493264,True,2021-06-03 12:07:12,1.53,True
1.53,6386552,True,2021-06-03 23:44:09,1.53,True
1.55,6505511,True,2021-06-03 18:14:02,1.55,True
1.55,6731640,True,2021-06-03 23:21:52,1.55,True
1.56,6468453,True,2021-06-03 20:24:46,1.56,True
1.56,6623853,True,2021-06-03 20:57:33,1.56,True
1.56,6383007,True,2021-06-03 07:15:27,1.56,True
1.59,6384882,True,2021-06-03 14:24:48,1.59,True
1.60,6505212,True,2021-06-03 16:11:12,1.60,True
1.63,6538909,True,2021-05-29 05:07:11,1.63,True
1.65,6413674,True,2021-06-02 16:06:36,1.65,True
1.66,6386079,True,2021-06-02 15:27:30,1.66,True
1.66,6381804,True,2021-06-02 12:45:46,1.66,True
1.68,6790504,True,2021-06-03 21:34:58,1.68,True
1.68,6394073,True,2021-05-17 16:36:42,1.68,True
1.72,6765786,True,2021-06-03 01:58:00,1.72,True
1.73,6401294,True,2021-05-19 12:54:17,1.73,True
1.74,6803861,True,2021-06-03 01:48:28,1.74,True
1.78,6775037,True,2021-06-03 08:12:27,1.78,True
1.78,6387233,True,2021-06-03 23:51:53,1.78,True
1.78,6771468,True,2021-06-03 22:56:55,1.78,True
1.79,6383401,True,2021-06-03 18:26:09,1.79,True
1.83,6400568,True,2021-06-03 13:35:58,1.83,True
1.83,6453289,True,2021-06-03 13:25:37,1.83,True
1.85,6842775,True,2021-06-03 23:31:21,1.85,True
1.85,6823863,True,2021-06-03 18:42:05,1.85,True
1.86,6636401,True,2021-06-03 14:02:14,1.86,True
1.86,6457457,True,2021-06-03 13:42:27,1.86,True
1.87,6446057,True,2021-06-03 23:07:57,1.87,True
1.87,6790813,True,2021-05-30 12:24:48,1.87,True
1.87,6509050,True,2021-06-03 15:21:12,1.87,True
1.90,6394325,True,2021-06-03 19:54:03,1.90,True
1.91,6730072,True,2021-05-12 03:56:59,1.91,True
1.91,6383071,True,2021-05-19 22:04:59,1.91,True
1.93,6691150,True,2021-06-03 22:33:24,1.93,True
1.93,6385939,True,2021-06-03 17:46:48,1.93,True
1.94,6424711,True,2021-06-03 14:57:50,1.94,True
1.98,6629469,True,2021-06-03 20:58:25,1.98,True
1.99,6801971,True,2021-06-03 23:54:59,1.99,True
2.03,6620389,True,2021-06-01 03:02:44,2.03,True
2.04,6592648,True,2021-06-03 23:38:35,2.04,True
2.06,6716645,True,2021-06-03 23:33:24,2.06,True
2.12,6471541,True,2021-06-03 13:50:26,2.12,True
2.13,6442630,True,2021-04-17 09:24:11,2.13,True
2.13,6770502,True,2021-06-03 13:21:19,2.13,True
2.18,6576895,True,2021-05-25 20:22:49,2.18,True
2.18,6382140,True,2021-06-03 21:56:13,2.18,True
2.20,6480982,True,2021-06-03 22:51:36,2.20,True
2.24,6616299,True,2021-06-02 20:10:22,2.24,True
2.29,6542003,True,2021-05-29 17:47:24,2.29,True
2.31,6521750,True,2021-05-08 20:23:44,2.31,True
2.32,6814819,True,2021-05-31 18:35:55,2.32,True
2.35,6439599,True,2021-06-03 10:55:53,2.35,True
2.40,6383219,True,2021-06-03 16:12:04,2.40,True
2.41,6787395,True,2021-06-03 22:18:26,2.41,True
2.42,6513327,True,2021-06-03 18:00:28,2.42,True
2.42,6382148,True,2021-06-03 23:02:27,2.42,True
2.43,6385008,True,2021-06-01 11:06:41,2.43,True
2.44,6663160,True,2021-06-03 23:51:32,2.44,True
2.46,6546811,True,2021-06-03 05:51:12,2.46,True
2.46,6496321,True,2021-05-30 13:32:00,2.46,True
2.47,6392655,True,2021-06-03 11:12:27,2.47,True
2.48,6481942,True,2021-05-17 14:54:16,2.48,True
2.49,6400423,True,2021-04-18 15:04:22,2.49,True
2.51,6773071,True,2021-06-03 23:16:44,2.51,True
2.51,6776264,True,2021-05-30 14:09:37,2.51,True
2.51,6449028,True,2021-06-03 23:45:14,2.51,True
2.55,6458532,True,2021-06-03 18:31:40,2.55,True
2.56,6407265,True,2021-05-26 19:02:06,2.56,True
2.62,6385711,True,2021-06-03 06:23:41,2.62,True
2.64,6493848,True,2021-05-30 03:04:07,2.64,True
2.67,6437039,True,2021-05-27 17:19:27,2.67,True
2.68,6560020,True,2021-06-03 19:14:52,2.68,True
2.69,6519241,True,2021-06-03 16:27:57,2.69,True
2.70,6636259,True,2021-06-03 17:45:26,2.70,True
2.72,6571058,True,2021-05-28 03:19:21,2.72,True
2.73,6381425,True,2021-06-03 20:39:21,2.73,True
2.74,6396544,True,2021-05-04 04:07:33,2.74,True
2.79,6382991,True,2021-06-03 03:48:17,2.79,True
2.80,6405537,True,2021-06-03 15:08:12,2.80,True
2.80,6630550,True,2021-06-03 18:23:24,2.80,True
2.82,6774907,True,2021-06-03 23:51:05,2.82,True
2.82,6592225,True,2021-06-03 13:29:34,2.82,True
2.85,6658566,True,2021-05-23 02:01:30,2.85,True
2.85,6396400,True,2021-05-30 16:17:11,2.85,True
2.85,6382819,True,2021-06-03 18:48:26,2.85,True
2.86,6596011,True,2021-06-03 14:51:22,2.86,True
2.87,6473351,True,2021-06-03 20:19:53,2.87,True
2.87,6863135,True,2021-06-03 10:31:08,2.87,True
2.88,6789872,True,2021-06-03 23:50:23,2.88,True
2.89,6560472,True,2021-06-02 16:43:37,2.89,True
2.89,6469831,True,2021-05-19 14:34:12,2.89,True
2.90,6659073,True,2021-06-03 20:21:02,2.90,True
2.90,6701830,True,2021-06-01 18:56:23,2.90,True
2.90,6535329,True,2021-06-03 12:12:26,2.90,True
2.92,6406531,True,2021-05-28 17:59:20,2.92,True
