scoreNullable,teamId,hasTeamName,submissionDate,score,hasScore
0.75697,6445375,True,2021-05-26 23:52:38,0.75697,True
0.73534,6436977,True,2021-05-26 04:24:01,0.73534,True
0.68933,6448108,True,2021-05-26 20:24:03,0.68933,True
0.68691,6544891,True,2021-05-26 15:48:35,0.68691,True
0.68218,6446829,True,2021-04-10 15:30:35,0.68218,True
0.61624,6649260,True,2021-05-26 23:24:01,0.61624,True
0.59409,6527135,True,2021-05-03 19:52:16,0.59409,True
0.54332,6441369,True,2021-03-21 22:29:21,0.54332,True
0.52956,6673453,True,2021-05-08 07:42:14,0.52956,True
0.47167,6716574,True,2021-05-26 12:19:40,0.47167,True
0.46017,6654266,True,2021-05-26 04:49:52,0.46017,True
0.45925,6544554,True,2021-05-06 21:03:57,0.45925,True
0.44841,6651619,True,2021-05-23 06:54:31,0.44841,True
0.43403,6650634,True,2021-05-22 07:48:20,0.43403,True
0.42600,6820389,True,2021-05-19 07:47:15,0.42600,True
0.41067,6755556,True,2021-05-25 14:07:06,0.41067,True
0.39778,6501136,True,2021-04-23 18:58:23,0.39778,True
0.34446,6825027,True,2021-05-19 02:50:34,0.34446,True
0.33666,6459663,True,2021-04-02 12:04:39,0.33666,True
0.30982,6793527,True,2021-05-17 22:36:33,0.30982,True
0.23118,6495720,True,2021-04-23 05:38:23,0.23118,True
0.22882,6500678,True,2021-05-19 10:29:07,0.22882,True
0.21757,6730551,True,2021-05-03 14:45:09,0.21757,True
0.21303,6436269,True,2021-05-04 15:42:52,0.21303,True
0.21303,6694045,True,2021-05-05 16:34:20,0.21303,True
0.21303,6507926,True,2021-05-15 17:34:45,0.21303,True
0.21303,6811174,True,2021-05-17 15:11:16,0.21303,True
0.21303,6597679,True,2021-05-17 19:21:14,0.21303,True
0.21303,6829874,True,2021-05-19 16:26:58,0.21303,True
0.20838,6718525,True,2021-05-26 23:27:01,0.20838,True
0.16687,6604779,True,2021-05-25 12:49:00,0.16687,True
0.13026,6823360,True,2021-05-26 07:33:19,0.13026,True
0.12844,6674120,True,2021-05-25 18:47:55,0.12844,True
0.08184,6477027,True,2021-05-25 12:24:57,0.08184,True
0.07466,6564145,True,2021-04-02 15:28:44,0.07466,True
0.07466,6630325,True,2021-04-13 11:38:39,0.07466,True
0.06211,6535211,True,2021-03-27 07:57:57,0.06211,True
0.06211,6456139,True,2021-03-28 08:38:35,0.06211,True
0.06211,6504054,True,2021-04-14 12:59:15,0.06211,True
0.06211,6476730,True,2021-05-25 14:14:58,0.06211,True
0.04099,6459264,True,2021-03-16 15:41:59,0.04099,True
0.02716,6813628,True,2021-05-19 09:51:59,0.02716,True
0.02280,6766777,True,2021-05-14 09:51:25,0.02280,True
0.02162,6626990,True,2021-05-03 19:07:59,0.02162,True
0.02082,6441094,True,2021-05-26 21:47:35,0.02082,True
0.01827,6747422,True,2021-05-09 01:57:18,0.01827,True
0.01645,6438724,True,2021-03-14 22:49:07,0.01645,True
0.01152,6715560,True,2021-05-04 10:22:29,0.01152,True
0.00723,6561567,True,2021-05-26 19:40:37,0.00723,True
0.00370,6706818,True,2021-05-13 09:29:40,0.00370,True
0.00354,6492245,True,2021-05-26 19:39:21,0.00354,True
0.00277,6448752,True,2021-03-16 11:48:49,0.00277,True
0.00035,6523554,True,2021-05-25 22:36:31,0.00035,True
0.00023,6647489,True,2021-05-26 19:07:22,0.00023,True
0.00005,6566690,True,2021-04-06 07:44:31,0.00005,True
0.00001,6560047,True,2021-05-20 02:17:42,0.00001,True
0.00000,6454229,True,2021-03-13 17:17:14,0.00000,True
0.00000,6527293,True,2021-03-30 17:44:21,0.00000,True
0.00000,6438869,True,2021-03-12 17:43:34,0.00000,True
0.00000,6441185,True,2021-03-11 17:35:21,0.00000,True
0.00000,6554200,True,2021-05-26 06:41:05,0.00000,True
0.00000,6605395,True,2021-05-06 10:37:17,0.00000,True
0.00000,6441826,True,2021-05-25 19:14:13,0.00000,True
0.00000,6438706,True,2021-03-11 10:44:39,0.00000,True
0.00000,6463238,True,2021-03-15 07:21:58,0.00000,True
0.00000,6479415,True,2021-03-19 14:22:47,0.00000,True
0.00000,6502395,True,2021-03-25 00:11:16,0.00000,True
0.00000,6667176,True,2021-04-20 13:06:37,0.00000,True
0.00000,6442555,True,2021-03-11 19:26:40,0.00000,True
0.00000,6436174,True,2021-03-14 18:07:18,0.00000,True
0.00000,6742386,True,2021-05-05 21:32:55,0.00000,True
0.00000,6538045,True,2021-04-02 15:02:24,0.00000,True
0.00000,6436877,True,2021-03-11 03:25:28,0.00000,True
0.00000,6438785,True,2021-03-11 08:52:52,0.00000,True
0.00000,6439413,True,2021-03-11 09:15:08,0.00000,True
0.00000,6495015,True,2021-03-20 09:00:52,0.00000,True
0.00000,6602314,True,2021-05-13 12:08:25,0.00000,True
0.00000,6702668,True,2021-04-27 13:32:01,0.00000,True
0.00000,6707762,True,2021-04-28 13:08:02,0.00000,True
0.00000,6652674,True,2021-05-07 13:42:09,0.00000,True
