scoreNullable,teamId,hasTeamName,submissionDate,score,hasScore
0.950,3431332,True,2019-10-13 12:39:43,0.950,True
0.950,3432294,True,2019-10-14 23:21:15,0.950,True
0.944,3446319,True,2019-10-14 23:45:10,0.944,True
0.942,3447861,True,2019-10-14 23:49:46,0.942,True
0.940,3557938,True,2019-10-12 22:28:37,0.940,True
0.939,3456023,True,2019-10-14 23:57:44,0.939,True
0.934,3484743,True,2019-10-14 12:06:15,0.934,True
0.920,3436070,True,2019-10-14 21:40:18,0.920,True
0.910,3510461,True,2019-10-14 21:11:43,0.910,True
0.903,3431502,True,2019-10-14 23:23:20,0.903,True
0.903,3462766,True,2019-10-14 15:45:55,0.903,True
0.901,3446702,True,2019-10-05 00:14:19,0.901,True
0.901,3466279,True,2019-10-14 23:26:45,0.901,True
0.900,3527710,True,2019-10-14 11:44:06,0.900,True
0.900,3550194,True,2019-10-14 23:25:38,0.900,True
0.897,3619273,True,2019-10-14 08:59:59,0.897,True
0.896,3628107,True,2019-10-14 23:55:16,0.896,True
0.894,3436801,True,2019-10-14 05:15:34,0.894,True
0.891,3472801,True,2019-10-14 11:28:00,0.891,True
0.888,3433127,True,2019-10-11 23:57:01,0.888,True
0.880,3588564,True,2019-09-16 19:46:49,0.880,True
0.878,3468001,True,2019-10-14 15:43:27,0.878,True
0.874,3717058,True,2019-10-14 00:51:31,0.874,True
0.873,3559453,True,2019-10-14 23:52:14,0.873,True
0.873,3598697,True,2019-10-14 22:59:05,0.873,True
0.870,3628821,True,2019-10-14 22:00:51,0.870,True
0.866,3446589,True,2019-10-14 15:50:06,0.866,True
0.866,3433223,True,2019-10-10 04:53:16,0.866,True
0.862,3525185,True,2019-10-11 18:16:16,0.862,True
0.862,3581796,True,2019-10-12 11:15:06,0.862,True
0.858,3643739,True,2019-10-14 01:08:05,0.858,True
0.851,3707805,True,2019-10-14 21:44:38,0.851,True
0.849,3613002,True,2019-10-14 23:10:54,0.849,True
0.848,3437399,True,2019-10-14 05:10:55,0.848,True
0.838,3437953,True,2019-10-14 22:16:09,0.838,True
0.838,3435431,True,2019-10-14 21:49:28,0.838,True
0.838,3448950,True,2019-08-21 12:55:54,0.838,True
0.834,3435046,True,2019-10-14 23:48:04,0.834,True
0.833,3654241,True,2019-10-13 10:35:38,0.833,True
0.832,3744668,True,2019-10-13 09:00:04,0.832,True
0.828,3607128,True,2019-09-23 12:12:56,0.828,True
0.824,3620485,True,2019-09-23 13:42:48,0.824,True
0.822,3431969,True,2019-10-13 11:18:53,0.822,True
0.819,3467259,True,2019-10-14 10:14:17,0.819,True
0.819,3452370,True,2019-10-14 23:51:29,0.819,True
0.819,3491827,True,2019-10-11 09:00:26,0.819,True
0.809,3435690,True,2019-10-13 05:23:18,0.809,True
0.802,3439068,True,2019-08-11 15:31:24,0.802,True
0.800,3442953,True,2019-10-10 07:58:25,0.800,True
0.800,3444910,True,2019-09-14 07:28:45,0.800,True
0.790,3444409,True,2019-09-24 16:12:19,0.790,True
0.790,3432304,True,2019-10-14 03:19:11,0.790,True
0.788,3699012,True,2019-10-14 22:49:52,0.788,True
0.783,3553244,True,2019-09-28 16:07:30,0.783,True
0.781,3469369,True,2019-10-05 14:28:45,0.781,True
0.771,3452574,True,2019-08-29 10:15:07,0.771,True
0.766,3433927,True,2019-09-01 22:53:47,0.766,True
0.760,3431200,True,2019-10-13 00:08:26,0.760,True
0.760,3748836,True,2019-10-14 16:43:39,0.760,True
0.758,3552325,True,2019-09-20 02:59:50,0.758,True
0.755,3439302,True,2019-09-09 06:23:39,0.755,True
0.755,3731726,True,2019-10-10 17:22:53,0.755,True
0.754,3599118,True,2019-10-14 15:02:04,0.754,True
0.751,3611541,True,2019-10-14 22:04:46,0.751,True
0.749,3444476,True,2019-10-14 22:04:31,0.749,True
0.743,3556205,True,2019-10-13 23:04:50,0.743,True
0.737,3433036,True,2019-09-09 18:21:59,0.737,True
0.735,3442964,True,2019-09-09 07:19:35,0.735,True
0.734,3512411,True,2019-10-06 00:24:43,0.734,True
0.732,3437343,True,2019-09-03 07:49:41,0.732,True
0.730,3629115,True,2019-10-14 18:47:28,0.730,True
0.725,3447019,True,2019-08-07 20:42:46,0.725,True
0.724,3579198,True,2019-09-19 06:54:52,0.724,True
0.722,3616349,True,2019-09-30 19:27:19,0.722,True
0.722,3639617,True,2019-10-07 03:04:47,0.722,True
0.720,3536076,True,2019-08-21 03:45:06,0.720,True
0.719,3651266,True,2019-10-14 06:53:31,0.719,True
0.718,3436037,True,2019-09-16 13:57:18,0.718,True
0.717,3547631,True,2019-10-09 20:50:47,0.717,True
0.715,3443727,True,2019-10-14 02:31:44,0.715,True
0.714,3616027,True,2019-10-06 08:05:45,0.714,True
0.709,3562823,True,2019-09-09 06:17:38,0.709,True
0.709,3435780,True,2019-10-14 23:14:45,0.709,True
0.707,3491406,True,2019-10-13 09:10:43,0.707,True
0.704,3433663,True,2019-08-07 12:48:42,0.704,True
0.703,3712312,True,2019-10-13 01:35:34,0.703,True
0.696,3447605,True,2019-09-27 05:45:00,0.696,True
0.693,3517836,True,2019-08-24 10:23:35,0.693,True
0.687,3437542,True,2019-09-06 05:32:31,0.687,True
